,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
117,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
118,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
119,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
120,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
121,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L
122,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
123,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L
124,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
125,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
126,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S
127,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L
128,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
129,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M
130,2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L
131,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
132,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
133,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
134,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
135,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
136,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
137,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M
138,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
139,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M
140,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L
141,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
142,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
143,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
144,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
145,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L
146,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L
147,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M
148,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L
149,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
150,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
151,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
152,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
153,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
154,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
155,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M
156,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
157,2021,SE,FT,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M
158,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
159,2021,EX,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,L
160,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
161,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L
162,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
163,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L
164,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S
165,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
166,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
167,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
168,2021,MI,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M
169,2021,EN,FT,Data Engineer,55000,EUR,65013,DE,50,DE,M
170,2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L
171,2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M
172,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
173,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
174,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M
175,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
176,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
177,2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
178,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L
179,2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L
180,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
181,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
182,2021,MI,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L
183,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
184,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
185,2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,50,IN,L
186,2021,SE,FT,Head of Data,87000,EUR,102839,SI,100,SI,L
187,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
188,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
189,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
190,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
191,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
192,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
193,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
194,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
195,2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
196,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
197,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
198,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
199,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
200,2022,SE,FT,Data Scientist,90000,GBP,117789,GB,0,GB,M
201,2022,SE,FT,Data Scientist,80000,GBP,104702,GB,0,GB,M
202,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
203,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
204,2022,EN,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M
205,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
206,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
207,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
208,2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M
209,2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
210,2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
211,2022,MI,FT,Data Scientist,50000,GBP,65438,GB,0,GB,M
212,2022,MI,FT,Data Scientist,30000,GBP,39263,GB,0,GB,M
213,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M
214,2022,MI,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M
215,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
216,2022,EN,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M
217,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
218,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
219,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
220,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
221,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
222,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
223,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
224,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
225,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
226,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
227,2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M
228,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
229,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
230,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
231,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
232,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
233,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
234,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
235,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
236,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
237,2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M
238,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
239,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
240,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
241,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
242,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
243,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
244,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
245,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
246,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
247,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
248,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
249,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
250,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
251,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
252,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
253,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
254,2022,SE,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M
255,2022,SE,FT,Data Engineer,50000,GBP,65438,GB,0,GB,M
256,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
257,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
258,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
259,2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
260,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
261,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
262,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
263,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
264,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
265,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
266,2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M
267,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
268,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
269,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
270,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
271,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
272,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
273,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
274,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
275,2022,EX,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S
276,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
277,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
278,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
279,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
280,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
281,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
282,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
283,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
284,2022,EX,FT,Head of Machine Learning,6000000,INR,79039,IN,50,IN,L
285,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
286,2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L
287,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
288,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
289,2022,MI,FT,Machine Learning Engineer,95000,GBP,124333,GB,0,GB,M
290,2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M
291,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
292,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
293,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
294,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
295,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
296,2022,MI,FT,Machine Learning Engineer,80000,EUR,87932,FR,100,DE,M
297,2022,MI,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M
298,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
299,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
300,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
301,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
302,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
303,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
304,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
305,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M
306,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
307,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
308,2022,MI,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M
309,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
310,2022,MI,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M
311,2022,MI,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M
312,2022,MI,FT,Data Engineer,60000,EUR,65949,GR,100,GR,M
313,2022,MI,FT,Data Engineer,45000,EUR,49461,GR,100,GR,M
314,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
315,2022,MI,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M
316,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
317,2022,SE,FT,Data Science Engineer,60000,USD,60000,AR,100,MX,L
318,2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M
319,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
320,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
321,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
322,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
323,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
324,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
325,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
326,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
327,2022,MI,FT,Data Engineer,45000,EUR,49461,ES,100,ES,M
328,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
329,2022,MI,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M
330,2022,MI,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M
331,2022,MI,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M
332,2022,MI,FT,Data Engineer,80000,EUR,87932,ES,100,ES,M
333,2022,MI,FT,Data Engineer,70000,EUR,76940,ES,100,ES,M
334,2022,MI,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M
335,2022,MI,FT,Data Engineer,70000,GBP,91614,GB,100,GB,M
336,2022,MI,FT,Data Engineer,60000,EUR,65949,ES,100,ES,M
337,2022,MI,FT,Data Engineer,80000,EUR,87932,GR,100,GR,M
338,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
339,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
340,2022,MI,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M
341,2022,MI,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M
342,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M
343,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
344,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
345,2022,MI,FT,Data Engineer,70000,EUR,76940,GR,100,GR,M
346,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
347,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
348,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
349,2022,EN,FT,ML Engineer,20000,EUR,21983,PT,100,PT,L
350,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
351,2022,MI,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
352,2022,EX,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L
353,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
354,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
355,2022,MI,FT,NLP Engineer,240000,CNY,37236,US,50,US,L
356,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
357,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,87932,DE,0,DE,M
358,2022,MI,FT,Business Data Analyst,1400000,INR,18442,IN,100,IN,M
359,2022,MI,FT,Data Scientist,2400000,INR,31615,IN,100,IN,L
360,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,50,PT,L
361,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
362,2022,MI,PT,Data Engineer,50000,EUR,54957,DE,50,DE,L
363,2022,EN,FT,Data Scientist,1400000,INR,18442,IN,100,IN,M
364,2022,SE,FT,Principal Data Scientist,148000,EUR,162674,DE,100,DE,M
365,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
366,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
367,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
368,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
369,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
370,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
371,2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
372,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
